Pathway Name,Normalized Importance Values
ARK_TNFA_SIGNALING_VIA_NFKB,0.038143408
ARK_ESTROGEN_RESPONSE_EARLY,0.035476856
ARK_IL2_STAT5_SIGNALING,0.035104226
ARK_MITOTIC_SPINDLE,0.03347865
ARK_KRAS_SIGNALING_UP,0.031884924
ARK_HEME_METABOLISM,0.030960651
ARK_E2F_TARGETS,0.029775724
ARK_G2M_CHECKPOINT,0.029578108
ARK_GLYCOLYSIS,0.029379154
ARK_ESTROGEN_RESPONSE_LATE,0.02933069
ARK_APICAL_JUNCTION,0.028742932
ARK_UV_RESPONSE_UP,0.027593
ARK_HYPOXIA,0.026593108
ARK_MTORC1_SIGNALING,0.0259219
ARK_COMPLEMENT,0.025635937
ARK_ADIPOGENESIS,0.025495518
ARK_ALLOGRAFT_REJECTION,0.025374707
ARK_P53_PATHWAY,0.0247572
ARK_INFLAMMATORY_RESPONSE,0.024278354
ARK_MYC_TARGETS_V1,0.024255525
ARK_APOPTOSIS,0.023914946
ARK_OXIDATIVE_PHOSPHORYLATION,0.023350282
ARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.02310312
ARK_KRAS_SIGNALING_DN,0.022747131
ARK_MYOGENESIS,0.021964211
ARK_DNA_REPAIR,0.02043187
ARK_UV_RESPONSE_DN,0.018574942
ARK_INTERFERON_GAMMA_RESPONSE,0.018313175
ARK_FATTY_ACID_METABOLISM,0.017861286
ARK_PI3K_AKT_MTOR_SIGNALING,0.016688459
ARK_UNFOLDED_PROTEIN_RESPONSE,0.016559333
ARK_ANDROGEN_RESPONSE,0.01638642
ARK_SPERMATOGENESIS,0.015742034
ARK_XENOBIOTIC_METABOLISM,0.015572374
ARK_PEROXISOME,0.01551129
ARK_COAGULATION,0.015479454
ARK_PROTEIN_SECRETION,0.014505815
ARK_BILE_ACID_METABOLISM,0.014413827
ARK_INTERFERON_ALPHA_RESPONSE,0.013325926
ARK_IL6_JAK_STAT3_SIGNALING,0.011425229
ARK_CHOLESTEROL_HOMEOSTASIS,0.011340188
ARK_MYC_TARGETS_V2,0.010139624
ARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.007180595
ARK_TGF_BETA_SIGNALING,0.006936142
ARK_APICAL_SURFACE,0.006140706
ARK_WNT_BETA_CATENIN_SIGNALING,0.005757185
ARK_HEDGEHOG_SIGNALING,0.005209434
ARK_PANCREAS_BETA_CELLS,0.003891577
ARK_NOTCH_SIGNALING,0.003484209
ARK_ANGIOGENESIS,0.002288671
