Pathway Name,Normalized Importance Values
P2WNT4FOXO1_PATHWAY_IN_PRIMARY_ENDOMETRIAL_STROMAL_CELL_DIFFERENTIATION,0.016970038
F1A_AND_PPARG_REGULATION_OF_GLYCOLYSIS,0.016061634
TCH1_REGULATION_OF_ENDOTHELIAL_CELL_CALCIFICATION,0.011899112
NG_FIBROSIS,0.011096433
UTE_VIRAL_MYOCARDITIS,0.009969896
XA2_PATHWAY,0.009296746
CLEAR_RECEPTORS,0.008860715
OGERIAASSOCIATED_LIPODYSTROPHY,0.008226736
IDATIVE_DAMAGE_RESPONSE,0.008027549
RNA_BIOGENESIS,0.007963087
COTINE_EFFECT_ON_CHROMAFFIN_CELLS,0.007804606
ITHELIAL_TO_MESENCHYMAL_TRANSITION_IN_COLORECTAL_CANCER,0.007497839
UG_INDUCTION_OF_BILE_ACID_PATHWAY,0.007391325
ZHEIMERS_DISEASE,0.00726583
CAL_ADHESION,0.006995393
IAMINE_METABOLIC_PATHWAYS,0.006825093
TWORK_MAP_OF_SARSCOV2_SIGNALING_PATHWAY,0.00667052
YOXYLATE_METABOLISM,0.006107215
112_COPY_NUMBER_VARIATION_SYNDROME,0.006106569
PHROGENESIS,0.006017699
EAST_CANCER_PATHWAY,0.005950511
EGA3_OMEGA6_FATTY_ACID_SYNTHESIS,0.005828082
ALL_LIGAND_GPCRS,0.005820325
UROGENESIS_REGULATION_IN_THE_OLFACTORY_EPITHELIUM,0.005812122
ATIN_INHIBITION_OF_CHOLESTEROL_PRODUCTION,0.005801485
PATITIS_B_INFECTION,0.005704652
DODERM_DIFFERENTIATION,0.005462896
FBETA_SIGNALING_PATHWAY,0.005365578
EROL_REGULATORY_ELEMENTBINDING_PROTEINS_SREBP_SIGNALING,0.005346148
TAPATHWAY_BIOTRANSFORMATION_PHASE_I_AND_II,0.005014322
LDENAFIL_TREATMENT,0.005014112
CLEOTIDE_EXCISION_REPAIR_IN_XERODERMA_PIGMENTOSUM,0.004892899
3KAKTMTOR_SIGNALING_PATHWAY_AND_THERAPEUTIC_OPPORTUNITIES,0.004656183
ERGY_METABOLISM,0.004632857
MILIAL_HYPERLIPIDEMIA_TYPE_2,0.004626788
_TO_S_CELL_CYCLE_CONTROL,0.00456749
ERCETIN_AND_NFKB_AP1_INDUCED_APOPTOSIS,0.004473945
ASLES_VIRUS_INFECTION,0.004429437
UROINFLAMMATION_AND_GLUTAMATERGIC_SIGNALING,0.004378735
NTHESIS_OF_CERAMIDES_AND_1DEOXYCERAMIDES,0.004324924
37_COPY_NUMBER_VARIATION_SYNDROME,0.004283655
YCEROLIPIDS_AND_GLYCEROPHOSPHOLIPIDS,0.004268813
3_TRANSCRIPTIONAL_GENE_NETWORK,0.004188045
RNESOID_X_RECEPTOR_PATHWAY,0.004178371
OSPHODIESTERASES_IN_NEURONAL_FUNCTION,0.004161974
XL10_ENHANCEMENT_OF_MAPERK_SIGNALING_IN_DIFFUSE_LARGE_BCELL_LYMPHOMA,0.004150458
AGILE_X_SYNDROME,0.004122766
RNA_REGULATION_OF_PROSTATE_CANCER_SIGNALING_PATHWAYS,0.004118142
LL_INTERACTIONS_OF_THE_PANCREATIC_CANCER_MICROENVIRONMENT,0.004022725
OMETRIAL_RELAXATION_AND_CONTRACTION_PATHWAYS,0.003908032
PROTEIN_SIGNALING_PATHWAYS,0.003901679
ROTONIN_TRANSPORTER_ACTIVITY,0.003885906
NSTITUTIVE_ANDROSTANE_RECEPTOR_PATHWAY,0.003819759
RIMIDINE_METABOLISM,0.003797718
OTIN_METABOLISM_INCLUDING_IMDS,0.003741346
TOCHONDRIAL_IMMUNE_RESPONSE_TO_SARSCOV2,0.00372265
AR_SIGNALING_PATHWAY,0.003664294
ROBIC_GLYCOLYSIS,0.003623363
UBERT_SYNDROME,0.003607479
TOPLASMIC_RIBOSOMAL_PROTEINS,0.003576532
ERMOGENESIS,0.003559144
1123_COPY_NUMBER_VARIATION_SYNDROME,0.0035237
RDETBIEDL_SYNDROME,0.003489087
TEGRINMEDIATED_CELL_ADHESION,0.003404076
MMALIAN_DISORDER_OF_SEXUAL_DEVELOPMENT,0.003395816
T_SIGNALING,0.003295774
GFAVEGFR2_SIGNALING,0.003279397
HFR_DEFICIENCY,0.003269953
CRS_CLASS_C_METABOTROPIC_GLUTAMATE_PHEROMONE,0.003263644
NAPTIC_SIGNALING_PATHWAYS_ASSOCIATED_WITH_AUTISM_SPECTRUM_DISORDER,0.003193575
9_SIGNALING_PATHWAY,0.003192772
LECTIVE_EXPRESSION_OF_CHEMOKINE_RECEPTORS_DURING_TCELL_POLARIZATION,0.003191056
IDATIVE_STRESS_RESPONSE,0.003139113
PPOYAP_SIGNALING,0.003128316
LATEALCOHOL_AND_CANCER_PATHWAY_HYPOTHESES,0.003091949
NALCOHOLIC_FATTY_LIVER_DISEASE,0.003069645
COTINE_EFFECT_ON_DOPAMINERGIC_NEURONS,0.003051546
GULATION_OF_APOPTOSIS_BY_PARATHYROID_HORMONERELATED_PROTEIN,0.00302357
URAL_CREST_DIFFERENTIATION,0.002978652
GULATORY_CIRCUITS_OF_THE_STAT3_SIGNALING_PATHWAY,0.002964601
ION_DISEASE_PATHWAY,0.002962283
TERNATIVE_PATHWAY_OF_FETAL_ANDROGEN_SYNTHESIS,0.00295049
YCOLYSIS_AND_GLUCONEOGENESIS,0.002929974
IACYLGLYCERIDE_SYNTHESIS,0.002907357
RSCOV2_B117_VARIANT_ANTAGONISES_INNATE_IMMUNE_ACTIVATION,0.002889747
CP2_AND_ASSOCIATED_RETT_SYNDROME,0.002860115
MPLEMENT_SYSTEM_IN_NEURONAL_DEVELOPMENT_AND_PLASTICITY,0.002835655
NHOMOLOGOUS_END_JOINING,0.00283092
HER_LIPID_BIOSYNTHESIS,0.002790578
LLLIKE_RECEPTOR_SIGNALING_PATHWAY,0.002782215
NONICAL_NFKB_PATHWAY,0.002775463
VALONATE_PATHWAY,0.002755283
ELL_RECEPTOR_SIGNALING_PATHWAY,0.002751818
MOXIFEN_METABOLISM,0.002723
211_COPY_NUMBER_VARIATION_SYNDROME,0.002713073
DNF_AND_PROBDNF_REGULATION_OF_GABA_NEUROTRANSMISSION,0.002663782
